order_id,timestamp,hour_of_day,day_of_week,month,is_weekend,weather,weather_mult,tod_mult,ch_distance_km,segment_count,turn_count,road_highway_frac,road_primary_frac,road_secondary_frac,road_residential_frac,cpm_slack_min,batch_size,estimated_prep_variance,stage_delay_placed,stage_delay_prep,stage_delay_pickup,stage_delay_transit,stage_delay_delivered,route_time_min,cpm_eta_min,weather_delay_min,ground_truth_eta,is_late
4573,2024-01-02 17:30:42.311593,17,1,1,0,clear,1.0,1.35,15.613,99,8,0.5051,0.0909,0.1919,0.2121,0.0,4.0,15.9367,0.37,13.76,0.75,14.87,0.61,62.56,30.36,0.0,93.996,1
1426,2024-01-02 18:19:38.251713,18,1,1,0,clear,1.0,1.35,22.841,311,8,0.045,0.4405,0.508,0.0064,0.0,4.0,15.7648,1.0,10.85,4.27,20.7,0.28,101.266,37.1,0.0,137.243,1
4132,2024-01-02 20:14:49.901561,20,1,1,0,clear,1.0,1.35,10.779,91,4,0.022,0.0,0.8242,0.1538,0.0,2.0,17.5793,1.51,6.61,2.21,5.91,0.47,55.03,16.71,0.0,72.474,1
826,2024-01-02 21:30:36.532661,21,1,1,0,rainy,1.25,1.0,6.873,127,9,0.0315,0.0157,0.8189,0.1339,0.0,2.0,13.6867,0.61,4.56,2.26,13.77,0.15,32.052,21.35,8.013,62.752,1
2956,2024-01-03 08:14:30.794133,8,2,1,0,heavy_rain,1.55,1.35,20.387,209,12,0.11,0.4689,0.3158,0.1053,0.0,3.0,16.3601,0.75,5.09,1.79,15.96,0.59,137.79,24.18,75.785,237.678,1
4253,2024-01-03 09:05:29.131193,9,2,1,0,cloudy,1.05,1.35,26.537,353,18,0.0595,0.051,0.4136,0.4759,0.0,4.0,16.4149,1.12,7.79,2.78,16.01,0.24,148.708,27.94,7.435,182.405,1
4102,2024-01-03 12:56:27.400205,12,2,1,0,cloudy,1.05,1.1,13.541,199,14,0.0452,0.005,0.809,0.1407,0.0,4.0,16.8774,0.59,6.79,3.53,5.6,1.43,58.159,17.94,2.908,79.75,1
2689,2024-01-03 14:30:21.979032,14,2,1,0,rainy,1.25,1.1,10.674,184,15,0.0,0.0435,0.5978,0.3587,0.0,4.0,16.6007,1.66,11.89,1.75,5.33,0.43,58.442,21.06,14.611,92.734,1
1494,2024-01-03 15:01:11.638082,15,2,1,0,clear,1.0,1.0,17.387,211,15,0.1327,0.0379,0.4218,0.4076,0.0,5.0,16.19,0.3,17.5,6.48,8.74,0.09,65.101,33.11,0.0,97.865,1
1385,2024-01-03 16:12:57.366934,16,2,1,0,cloudy,1.05,1.0,11.302,190,12,0.0,0.1105,0.5895,0.3,0.0,4.0,14.1151,1.07,7.48,2.69,9.8,0.58,45.821,21.62,2.291,68.467,1
2384,2024-01-03 20:54:25.526866,20,2,1,0,clear,1.0,1.35,26.164,263,22,0.0837,0.1597,0.4601,0.2966,0.0,3.0,15.1346,2.76,12.54,2.04,6.17,0.3,128.671,23.81,0.0,151.863,1
2572,2024-01-03 21:13:24.835775,21,2,1,0,cloudy,1.05,1.0,13.125,131,9,0.0,0.3893,0.4046,0.2061,0.0,5.0,14.5455,0.29,3.5,2.57,13.9,0.91,48.821,21.17,2.441,71.518,1
3355,2024-01-03 21:34:48.742428,21,2,1,0,clear,1.0,1.0,17.644,190,10,0.0158,0.3842,0.4526,0.1474,0.0,3.0,16.3582,1.45,13.36,2.05,17.73,0.07,61.277,34.66,0.0,94.786,1
338,2024-01-03 22:56:17.448254,22,2,1,0,clear,1.0,1.0,7.201,93,10,0.0,0.0323,0.6989,0.2688,0.0,2.0,13.6552,0.63,9.2,3.23,9.22,0.39,28.123,22.67,0.0,49.429,1
3322,2024-01-04 02:16:25.253626,2,3,1,0,cloudy,1.05,1.0,12.679,122,13,0.0,0.2049,0.5492,0.2459,0.0,5.0,16.5462,1.67,3.67,5.52,7.38,0.33,49.625,18.57,2.481,70.165,1
4317,2024-01-04 02:47:31.375428,2,3,1,0,clear,1.0,1.0,22.013,290,19,0.0207,0.4138,0.5207,0.0448,0.0,3.0,16.4832,1.08,2.07,2.75,11.98,0.13,74.139,18.01,0.0,91.633,1
3654,2024-01-04 07:53:30.270743,7,3,1,0,rainy,1.25,1.0,15.48,240,11,0.075,0.3708,0.375,0.1792,0.0,5.0,17.1667,2.46,4.78,2.59,10.87,0.73,65.873,21.43,16.468,103.495,1
682,2024-01-04 09:10:49.425188,9,3,1,0,clear,1.0,1.35,10.578,136,17,0.0882,0.0,0.6544,0.2574,0.0,5.0,15.2174,0.85,3.47,3.24,9.11,0.39,53.363,17.06,0.0,71.103,1
2684,2024-01-04 10:01:21.115486,10,3,1,0,clear,1.0,1.35,16.067,133,18,0.1128,0.0,0.6617,0.2256,0.0,4.0,15.8117,1.6,3.66,2.89,6.34,0.44,79.391,14.93,0.0,93.481,1
1275,2024-01-04 12:43:46.527201,12,3,1,0,clear,1.0,1.1,8.89,177,14,0.0,0.0,0.5593,0.4407,0.0,4.0,16.0087,1.21,2.7,1.31,17.22,0.36,40.195,22.8,0.0,62.648,1
3096,2024-01-04 14:24:10.058252,14,3,1,0,rainy,1.25,1.1,17.949,289,17,0.0,0.173,0.7128,0.1142,0.0,5.0,15.5922,1.6,18.04,4.42,12.49,0.16,89.906,36.71,22.477,147.466,1
221,2024-01-04 16:55:25.544938,16,3,1,0,clear,1.0,1.0,22.727,267,22,0.0562,0.1423,0.5169,0.2846,0.0,3.0,16.9131,3.66,8.44,1.6,15.13,0.27,84.132,29.1,0.0,112.611,1
4917,2024-01-04 18:10:30.031325,18,3,1,0,cloudy,1.05,1.35,15.277,240,19,0.0,0.2792,0.3708,0.35,0.0,2.0,15.8535,1.43,4.94,1.24,13.14,0.25,81.286,21.0,4.064,107.475,1
2422,2024-01-04 18:24:19.159990,18,3,1,0,rainy,1.25,1.35,17.86,198,15,0.2626,0.2475,0.3687,0.1212,0.0,4.0,17.1154,0.32,6.06,4.7,8.05,0.23,95.068,19.36,23.767,138.921,1
867,2024-01-04 20:23:54.562535,20,3,1,0,clear,1.0,1.35,21.625,212,15,0.0896,0.3538,0.2783,0.2783,0.0,4.0,14.8933,1.06,4.38,2.28,6.61,0.21,101.15,14.54,0.0,115.679,1
1442,2024-01-04 20:46:59.323246,20,3,1,0,clear,1.0,1.35,12.853,283,13,0.0,0.212,0.7067,0.0813,0.0,3.0,17.5615,0.64,7.2,0.9,13.52,0.07,62.191,22.33,0.0,83.628,1
4425,2024-01-04 22:20:12.340933,22,3,1,0,cloudy,1.05,1.0,5.796,80,3,0.0,0.5125,0.4,0.0875,0.0,4.0,14.8059,0.29,4.31,1.57,4.35,1.5,20.464,12.02,1.023,31.843,1
3432,2024-01-05 05:04:26.240925,5,4,1,0,heavy_rain,1.55,1.0,19.316,272,20,0.0993,0.1801,0.5551,0.1654,0.0,4.0,16.6381,1.57,3.7,4.6,11.86,0.39,104.609,22.12,57.535,185.169,1
3053,2024-01-05 05:38:13.839183,5,4,1,0,clear,1.0,1.0,12.896,230,15,0.013,0.0,0.7783,0.2087,0.0,4.0,15.9903,1.13,7.06,0.69,13.3,0.5,49.66,22.68,0.0,73.266,1
1959,2024-01-05 05:38:24.401113,5,4,1,0,cloudy,1.05,1.0,25.772,411,16,0.0,0.0681,0.6886,0.2433,0.0,4.0,14.9968,1.58,3.88,1.91,7.61,0.37,104.126,15.35,5.206,124.504,1
1296,2024-01-05 06:00:32.537882,6,4,1,0,clear,1.0,1.0,10.708,166,15,0.0,0.006,0.3072,0.6867,0.0,2.0,16.4035,3.77,3.88,3.2,10.06,1.06,46.911,21.97,0.0,67.417,1
2003,2024-01-05 07:55:12.832452,7,4,1,0,clear,1.0,1.0,22.588,174,17,0.1034,0.3218,0.5345,0.0402,0.0,5.0,17.7012,1.72,4.2,1.27,11.21,0.46,74.429,18.86,0.0,93.924,1
1050,2024-01-05 08:44:33.529071,8,4,1,0,cloudy,1.05,1.35,8.921,148,8,0.0,0.0541,0.2905,0.6554,0.0,3.0,16.5972,0.77,8.58,2.13,14.03,0.4,54.214,25.91,2.711,83.093,1
2013,2024-01-05 08:46:55.058037,8,4,1,0,clear,1.0,1.35,6.014,89,9,0.3258,0.1573,0.1573,0.3596,0.0,3.0,16.5143,1.16,10.95,2.12,14.92,0.35,26.558,29.5,0.0,56.509,1
4210,2024-01-05 09:42:15.968342,9,4,1,0,cloudy,1.05,1.35,19.142,254,7,0.248,0.0118,0.7126,0.0276,0.0,4.0,17.4173,0.11,13.16,2.55,8.46,0.44,88.669,24.72,4.433,116.73,1
1831,2024-01-05 10:56:24.071491,10,4,1,0,rainy,1.25,1.35,18.672,209,15,0.0239,0.1722,0.4689,0.3349,0.0,5.0,16.2996,2.87,8.62,5.46,17.18,0.48,119.297,34.61,29.824,184.479,1
2946,2024-01-05 12:04:31.851501,12,4,1,0,clear,1.0,1.1,14.624,299,11,0.0,0.0736,0.7023,0.2241,0.0,4.0,16.9856,0.63,8.53,2.65,10.02,0.18,61.533,22.01,0.0,82.488,1
993,2024-01-05 14:56:42.543100,14,4,1,0,clear,1.0,1.1,4.915,88,4,0.0,0.0,0.1705,0.8295,0.0,5.0,18.4317,0.89,4.13,1.59,4.7,0.71,24.688,12.02,0.0,35.007,1
2932,2024-01-05 16:25:41.609612,16,4,1,0,clear,1.0,1.0,24.683,401,18,0.0224,0.1097,0.6633,0.2045,0.0,3.0,15.9549,2.24,5.86,1.06,5.73,0.32,92.05,15.21,0.0,106.524,1
2236,2024-01-05 16:59:00.726820,16,4,1,0,cloudy,1.05,1.0,17.478,246,18,0.0203,0.0,0.4228,0.5569,0.0,5.0,16.4213,2.33,8.03,5.36,9.06,0.27,76.79,25.05,3.84,104.763,1
1685,2024-01-05 18:38:03.559709,18,4,1,0,cloudy,1.05,1.35,2.335,61,5,0.0,0.0,0.541,0.459,0.0,5.0,16.6819,1.7,3.8,3.01,9.62,0.35,13.669,18.48,0.683,32.499,1
3160,2024-01-05 23:33:53.453741,23,4,1,0,cloudy,1.05,1.0,16.642,246,8,0.0,0.1098,0.5285,0.3618,0.0,3.0,17.377,1.56,8.81,1.37,24.45,0.12,68.496,36.31,3.425,107.659,1
1752,2024-01-06 00:18:13.118380,0,5,1,1,cloudy,1.05,1.0,14.891,244,18,0.0123,0.0205,0.541,0.4262,0.0,3.0,14.1933,0.99,5.91,5.86,7.46,0.39,63.232,20.61,3.162,86.575,1
238,2024-01-06 03:56:22.909787,3,5,1,1,rainy,1.25,1.0,12.924,152,10,0.0132,0.4342,0.1776,0.375,0.0,5.0,15.0108,0.8,5.93,3.96,28.0,0.51,58.436,39.2,14.609,111.575,1
4383,2024-01-06 05:27:30.096388,5,5,1,1,clear,1.0,1.0,3.974,49,3,0.0,0.7143,0.2449,0.0408,0.0,5.0,15.5651,0.87,5.1,4.14,13.74,0.03,12.699,23.88,0.0,36.674,1
2116,2024-01-06 07:03:13.633469,7,5,1,1,clear,1.0,1.0,7.449,138,8,0.0,0.0,0.6449,0.3551,0.0,2.0,16.2292,0.54,8.2,1.93,12.43,0.96,29.959,24.06,0.0,53.501,1
3915,2024-01-06 09:08:16.897288,9,5,1,1,cloudy,1.05,1.35,12.819,212,9,0.0142,0.0377,0.6745,0.2736,0.0,2.0,15.6835,1.13,5.01,2.75,3.98,1.55,70.386,14.42,3.519,87.989,1
385,2024-01-06 10:10:35.279548,10,5,1,1,cloudy,1.05,1.35,5.088,69,6,0.0,0.2609,0.6377,0.1014,0.0,3.0,15.7302,1.03,15.56,3.25,11.81,0.37,25.684,32.02,1.284,55.876,1
1652,2024-01-06 11:59:35.153359,11,5,1,1,cloudy,1.05,1.1,8.965,86,11,0.1163,0.3605,0.2209,0.3023,0.0,5.0,15.6838,1.0,7.32,2.02,10.09,0.62,35.53,21.05,1.777,59.38,1
3418,2024-01-06 16:02:36.126610,16,5,1,1,clear,1.0,1.0,23.285,248,7,0.0,0.6855,0.1815,0.1331,0.0,2.0,14.8551,1.67,6.76,2.79,8.86,0.07,76.248,20.15,0.0,95.71,1
3594,2024-01-06 16:35:21.915073,16,5,1,1,rainy,1.25,1.0,15.079,178,13,0.0112,0.2079,0.4438,0.3371,0.0,5.0,14.9146,2.36,8.47,4.31,5.85,0.09,71.291,21.08,17.823,110.494,1
789,2024-01-06 17:48:36.999988,17,5,1,1,rainy,1.25,1.35,13.743,222,15,0.0,0.2568,0.527,0.2162,0.0,2.0,17.0517,2.38,7.76,1.91,8.34,1.45,84.835,21.84,21.209,128.587,1
4473,2024-01-06 19:31:24.294334,19,5,1,1,clear,1.0,1.35,16.667,228,17,0.0,0.3816,0.3816,0.2368,0.0,4.0,15.5129,0.99,6.24,1.41,8.98,0.65,80.392,18.27,0.0,99.74,1
2877,2024-01-06 20:29:48.348214,20,5,1,1,cloudy,1.05,1.35,16.318,301,24,0.0166,0.0897,0.3621,0.5316,0.0,3.0,16.893,1.29,6.11,1.68,20.53,0.66,94.167,30.27,4.708,129.286,1
3780,2024-01-06 21:11:42.731645,21,5,1,1,clear,1.0,1.0,13.519,262,12,0.0,0.0115,0.6756,0.313,0.0,2.0,17.1122,1.0,5.94,1.11,7.51,0.45,53.643,16.01,0.0,71.396,1
4342,2024-01-06 21:26:03.237965,21,5,1,1,clear,1.0,1.0,11.444,211,16,0.1043,0.0,0.4028,0.4929,0.0,4.0,15.5747,1.29,6.84,1.23,15.59,0.37,44.837,25.32,0.0,71.021,1
4896,2024-01-06 22:05:13.798510,22,5,1,1,heavy_rain,1.55,1.0,16.516,238,6,0.0378,0.1092,0.7983,0.0546,0.0,3.0,16.0099,2.22,7.02,1.93,4.25,0.8,91.516,16.22,50.334,157.814,1
524,2024-01-06 23:58:25.267165,23,5,1,1,clear,1.0,1.0,9.795,164,13,0.0183,0.0122,0.5976,0.372,0.0,4.0,14.8174,0.86,14.0,1.99,14.14,0.89,39.017,31.88,0.0,72.857,1
1480,2024-01-07 01:05:19.013694,1,6,1,1,clear,1.0,1.0,23.0,306,15,0.0,0.0719,0.5686,0.3595,0.0,3.0,14.5141,0.72,6.91,1.53,7.22,1.39,90.96,17.77,0.0,108.021,1
792,2024-01-07 06:10:08.957990,6,6,1,1,cloudy,1.05,1.0,10.943,161,6,0.0186,0.0435,0.5031,0.4348,0.0,4.0,16.5892,0.84,10.94,3.36,11.34,0.12,46.129,26.6,2.306,74.565,1
3767,2024-01-07 07:15:22.227295,7,6,1,1,rainy,1.25,1.0,11.188,126,10,0.1905,0.0,0.3254,0.4841,0.0,3.0,17.3305,0.43,5.33,2.38,12.54,0.34,52.113,21.02,13.028,84.396,1
4759,2024-01-07 11:08:15.859884,11,6,1,1,clear,1.0,1.1,19.108,194,18,0.0773,0.067,0.6134,0.2423,0.0,4.0,17.4074,1.42,3.01,6.72,9.03,0.11,77.517,20.29,0.0,95.343,1
3493,2024-01-07 12:14:45.552510,12,6,1,1,cloudy,1.05,1.1,15.587,84,5,0.2143,0.0,0.6548,0.131,0.0,2.0,16.7909,1.71,4.1,1.72,12.78,0.05,61.25,20.36,3.063,86.349,1
1236,2024-01-07 12:56:42.937898,12,6,1,1,heavy_rain,1.55,1.1,8.564,118,6,0.0,0.0,0.9492,0.0508,0.0,5.0,14.773,3.22,7.49,1.35,10.03,0.26,54.553,22.35,30.004,105.395,1
1770,2024-01-07 16:56:26.499107,16,6,1,1,heavy_rain,1.55,1.0,4.997,126,12,0.0079,0.0,0.6587,0.3333,0.0,2.0,15.3227,1.34,3.73,2.44,6.35,0.4,30.842,14.26,16.963,62.581,1
443,2024-01-07 20:10:33.097765,20,6,1,1,clear,1.0,1.35,20.386,231,19,0.0563,0.5238,0.3333,0.0866,0.0,4.0,15.4832,1.65,8.88,1.41,6.72,0.49,89.83,19.15,0.0,108.526,1
3746,2024-01-07 21:06:45.595008,21,6,1,1,rainy,1.25,1.0,6.808,168,18,0.0,0.006,0.4464,0.5476,0.0,5.0,16.7462,1.1,9.52,6.94,18.5,0.2,35.91,36.26,8.977,81.107,1
648,2024-01-07 21:53:28.821689,21,6,1,1,clear,1.0,1.0,23.103,265,12,0.0453,0.0038,0.834,0.117,0.0,4.0,15.9986,1.72,6.54,4.48,7.81,0.53,85.443,21.08,0.0,105.486,1
518,2024-01-07 22:28:26.514552,22,6,1,1,clear,1.0,1.0,6.352,105,5,0.0,0.0381,0.7238,0.2381,0.0,4.0,16.1991,3.03,12.4,2.79,13.55,0.77,24.588,32.54,0.0,56.377,1
1245,2024-01-07 23:31:57.583777,23,6,1,1,clear,1.0,1.0,18.312,313,32,0.0639,0.0032,0.4984,0.4345,0.0,4.0,14.423,1.34,2.21,4.09,16.58,0.15,72.323,24.37,0.0,96.122,1
4689,2024-01-08 00:17:54.639588,0,0,1,0,clear,1.0,1.0,27.698,462,18,0.0,0.0346,0.7013,0.2641,0.0,3.0,15.0227,0.85,8.21,1.52,13.32,0.2,107.989,24.1,0.0,133.271,1
4813,2024-01-08 00:40:48.743260,0,0,1,0,rainy,1.25,1.0,6.006,92,9,0.0652,0.0326,0.663,0.2391,0.0,2.0,18.4694,0.78,7.09,5.43,10.23,1.32,28.075,24.85,7.019,60.429,1
48,2024-01-08 02:36:58.547880,2,0,1,0,clear,1.0,1.0,15.747,173,14,0.0289,0.2659,0.2775,0.4277,0.0,2.0,17.8208,0.68,3.97,2.42,17.38,1.22,59.437,25.67,0.0,86.427,1
1190,2024-01-08 07:39:31.146105,7,0,1,0,rainy,1.25,1.0,21.732,250,19,0.032,0.276,0.496,0.196,0.0,5.0,15.4852,1.29,9.08,1.3,14.92,0.41,96.845,27.0,24.211,148.178,1
1115,2024-01-08 07:52:59.755353,7,0,1,0,cloudy,1.05,1.0,18.681,166,16,0.0,0.6024,0.2952,0.1024,0.0,5.0,17.7724,0.86,9.66,2.24,10.12,0.29,64.933,23.17,3.247,91.953,1
531,2024-01-08 10:07:42.683104,10,0,1,0,cloudy,1.05,1.35,15.897,205,14,0.1707,0.039,0.4634,0.3268,0.0,5.0,15.2546,3.06,5.2,0.92,6.78,0.75,81.141,16.71,4.057,100.17,1
2326,2024-01-08 10:43:26.073777,10,0,1,0,cloudy,1.05,1.35,2.866,59,5,0.0,0.1356,0.7966,0.0678,0.0,5.0,15.3481,0.38,7.21,0.9,18.83,0.33,14.769,27.65,0.738,41.568,1
2468,2024-01-08 11:41:07.563483,11,0,1,0,clear,1.0,1.1,21.626,222,13,0.036,0.3153,0.455,0.1937,0.0,2.0,14.1014,2.76,4.26,1.38,31.5,0.19,83.856,40.09,0.0,122.564,1
4935,2024-01-08 11:54:33.917565,11,0,1,0,cloudy,1.05,1.1,21.984,289,17,0.0657,0.0484,0.218,0.6678,0.0,2.0,15.4429,0.81,5.2,3.41,12.89,0.41,105.065,22.72,5.253,134.308,1
3242,2024-01-08 13:28:17.110782,13,0,1,0,cloudy,1.05,1.1,8.991,197,9,0.0,0.0914,0.5178,0.3909,0.0,2.0,15.2467,2.7,8.58,2.61,17.72,0.38,41.186,31.99,2.059,75.716,1
2761,2024-01-08 15:54:19.229944,15,0,1,0,rainy,1.25,1.0,19.991,225,17,0.0711,0.2489,0.3822,0.2978,0.0,5.0,16.4419,0.63,14.23,3.43,15.43,0.17,89.84,33.89,22.46,143.911,1
3236,2024-01-08 16:22:27.775832,16,0,1,0,rainy,1.25,1.0,23.112,165,15,0.0485,0.4485,0.4364,0.0667,0.0,5.0,16.096,0.7,16.01,2.34,11.48,0.07,95.727,30.6,23.932,150.411,1
2379,2024-01-08 16:36:36.300611,16,0,1,0,clear,1.0,1.0,13.423,242,12,0.0207,0.0,0.657,0.3223,0.0,5.0,17.101,1.73,4.91,1.96,10.31,0.42,52.907,19.33,0.0,71.27,1
2898,2024-01-08 17:49:45.139826,17,0,1,0,rainy,1.25,1.35,9.228,151,17,0.0265,0.0132,0.8146,0.1457,0.0,3.0,17.2305,0.92,4.81,4.78,8.81,0.23,58.451,19.55,14.613,91.473,1
1662,2024-01-08 19:03:02.931532,19,0,1,0,clear,1.0,1.35,27.972,420,10,0.0,0.1881,0.6881,0.1238,0.0,2.0,15.4358,1.03,10.88,1.66,16.35,0.55,137.391,30.47,0.0,167.845,1
4653,2024-01-08 20:02:33.951607,20,0,1,0,cloudy,1.05,1.35,10.134,102,10,0.098,0.0,0.3529,0.549,0.0,5.0,15.8356,0.59,1.81,3.12,14.4,0.15,57.28,20.07,2.864,78.374,1
4745,2024-01-08 21:55:21.662786,21,0,1,0,clear,1.0,1.0,17.895,338,17,0.0651,0.0059,0.5947,0.3343,0.0,5.0,16.3673,1.03,6.81,2.43,4.99,0.43,68.879,15.69,0.0,83.517,1
1090,2024-01-08 23:57:25.095937,23,0,1,0,rainy,1.25,1.0,19.713,226,10,0.0265,0.3363,0.5664,0.0708,0.0,5.0,15.8367,2.32,6.96,1.96,4.43,0.79,84.593,16.46,21.148,122.294,1
4502,2024-01-09 01:43:44.397788,1,1,1,0,clear,1.0,1.0,11.013,159,11,0.0,0.522,0.3333,0.1447,0.0,3.0,16.6282,1.43,4.62,1.2,14.37,0.68,37.406,22.3,0.0,60.403,1
2327,2024-01-09 02:47:28.731368,2,1,1,0,clear,1.0,1.0,13.295,124,8,0.1694,0.5484,0.0806,0.2016,0.0,3.0,15.0121,2.29,7.62,2.0,6.46,0.06,41.912,18.43,0.0,59.916,1
1467,2024-01-09 04:37:38.259234,4,1,1,0,clear,1.0,1.0,14.839,203,14,0.202,0.2167,0.4483,0.133,0.0,3.0,15.8218,2.13,8.84,1.46,8.12,0.19,48.569,20.74,0.0,68.22,1
3695,2024-01-09 05:28:19.596399,5,1,1,0,cloudy,1.05,1.0,32.612,358,24,0.0726,0.2179,0.5419,0.1676,0.0,2.0,16.3248,2.97,2.77,1.69,12.23,0.49,120.333,20.15,6.017,145.332,1
2193,2024-01-09 05:31:34.111533,5,1,1,0,clear,1.0,1.0,13.946,215,9,0.0,0.014,0.7814,0.2047,0.0,5.0,17.4585,0.3,9.93,3.25,15.5,0.66,53.858,29.64,0.0,83.582,1
4853,2024-01-09 05:36:58.973848,5,1,1,0,clear,1.0,1.0,22.244,220,14,0.1,0.0045,0.7909,0.1045,0.0,2.0,15.6175,0.98,7.95,2.37,2.83,0.4,79.688,14.53,0.0,92.419,1
879,2024-01-09 05:50:44.193045,5,1,1,0,cloudy,1.05,1.0,1.834,31,5,0.0,0.0,0.7419,0.2581,0.0,3.0,16.2599,3.55,3.91,1.13,8.2,0.48,7.561,17.27,0.378,23.896,0
1753,2024-01-09 07:16:24.559408,7,1,1,0,clear,1.0,1.0,12.458,177,9,0.0339,0.2429,0.4915,0.2316,0.0,4.0,15.5344,2.26,9.65,3.54,8.52,0.5,45.063,24.47,0.0,68.893,1
3055,2024-01-09 09:42:51.944819,9,1,1,0,clear,1.0,1.35,15.643,272,12,0.0257,0.0,0.5184,0.4559,0.0,3.0,14.06,0.92,2.91,5.88,7.27,0.39,85.815,17.37,0.0,102.097,1
3455,2024-01-09 09:48:51.889673,9,1,1,0,clear,1.0,1.35,11.399,189,17,0.0423,0.0053,0.5979,0.3545,0.0,5.0,15.5482,0.78,3.9,5.13,16.48,0.06,60.306,26.35,0.0,86.777,1
618,2024-01-09 11:01:27.740551,11,1,1,0,clear,1.0,1.1,16.582,270,19,0.0296,0.037,0.6222,0.3111,0.0,3.0,16.9862,1.84,3.64,4.93,17.35,0.6,70.701,28.36,0.0,98.998,1
2582,2024-01-09 13:10:28.062960,13,1,1,0,rainy,1.25,1.1,18.233,302,18,0.0828,0.0,0.5298,0.3874,0.0,2.0,14.654,1.48,5.77,3.73,12.99,0.14,96.911,24.11,24.228,144.32,1
